#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
1.0,393.0,761.0,-1.0,-1.0,1.0,16157.0,42630.0976562,1.0,1.0,17829.0,2.64,2.39
2.0,393.0,851.0,-1.0,-1.0,1.0,29861.0,84636.984375,1.0,0.0,33091.0,2.83,2.56
3.0,393.0,879.0,-1.0,-1.0,1.0,28097.0,78495.640625,1.0,1.0,31223.0,2.79,2.51
4.0,393.0,886.0,-1.0,-1.0,-15.0,42058.0,108804.992188,1.0,0.0,45748.0,2.59,2.38
5.0,393.0,887.0,-1.0,-1.0,1.0,29859.0,86511.6328125,1.0,1.0,33884.0,2.9,2.55
6.0,555.0,761.0,-1.0,-1.0,1.0,786.0,3401.89331055,1.0,1.0,1433.0,4.33,2.37
7.0,761.0,851.0,-1.0,-1.0,1.0,21706.0,73344.0,1.0,1.0,27822.0,3.38,2.64
8.0,761.0,879.0,-1.0,-1.0,1.0,24883.0,73545.6953125,0.0,1.0,29631.0,2.96,2.48
9.0,761.0,886.0,-1.0,-1.0,-15.0,61520.0,165379.953125,1.0,0.0,71714.0,2.69,2.31
10.0,761.0,888.0,-1.0,-1.0,1.0,13531.0,68230.2109375,1.0,0.0,26639.0,5.04,2.56
11.0,761.0,1143.0,-1.0,-1.0,1.0,14253.0,35983.4960938,1.0,1.0,14817.0,2.52,2.43
12.0,761.0,1939.0,-1.0,-1.0,-15.0,48737.0,119526.695312,1.0,0.0,56033.0,2.45,2.13
13.0,851.0,879.0,-1.0,-1.0,1.0,349.0,936.123962402,1.0,1.0,369.0,2.68,2.54
14.0,851.0,888.0,-1.0,-1.0,1.0,5768.0,14378.4912109,1.0,1.0,6135.0,2.49,2.34
15.0,851.0,1059.0,-1.0,-1.0,1.0,356.0,845.714599609,1.0,1.0,390.0,2.38,2.17
16.0,879.0,887.0,-1.0,-1.0,1.0,29356.0,75720.1484375,1.0,0.0,30857.0,2.58,2.45
17.0,879.0,1015.0,-1.0,-1.0,-15.0,22498.0,52266.3476562,0.0,1.0,25998.0,2.32,2.01
18.0,879.0,1020.0,-1.0,-1.0,1.0,576.0,1588.27331543,1.0,1.0,624.0,2.76,2.55
19.0,879.0,1059.0,-1.0,-1.0,1.0,281.0,887.476745605,1.0,1.0,300.0,3.16,2.96
20.0,886.0,887.0,-1.0,-1.0,1.0,182.0,430.36038208,1.0,1.0,277.0,2.36,1.55
21.0,886.0,965.0,-1.0,-1.0,1.0,277.0,642.957702637,1.0,1.0,312.0,2.32,2.06
22.0,886.0,1044.0,-1.0,-1.0,1.0,4348.0,11169.4355469,1.0,1.0,5352.0,2.57,2.09
23.0,887.0,965.0,-1.0,-1.0,1.0,680.0,1425.34997559,1.0,1.0,773.0,2.1,1.84
24.0,887.0,1015.0,-1.0,-1.0,1.0,8469.0,22635.1582031,1.0,1.0,9307.0,2.67,2.43
25.0,887.0,1020.0,-1.0,-1.0,-15.0,18702.0,44891.4179688,1.0,0.0,21056.0,2.4,2.13
26.0,888.0,1059.0,-1.0,-1.0,1.0,6204.0,14695.3984375,1.0,1.0,6508.0,2.37,2.26
27.0,888.0,1143.0,-1.0,-1.0,1.0,18859.0,46907.4609375,1.0,1.0,19926.0,2.49,2.35
28.0,888.0,1162.0,-1.0,-1.0,1.0,4224.0,10103.4306641,1.0,1.0,4595.0,2.39,2.2
29.0,888.0,1172.0,-1.0,-1.0,1.0,13244.0,32093.828125,1.0,1.0,14685.0,2.42,2.19
30.0,965.0,1015.0,-1.0,-1.0,1.0,7951.0,19678.0195312,1.0,1.0,8490.0,2.47,2.32
31.0,965.0,1044.0,-1.0,-1.0,1.0,4767.0,11746.6855469,1.0,1.0,5239.0,2.46,2.24
32.0,965.0,1048.0,-1.0,-1.0,1.0,2333.0,5230.33349609,1.0,1.0,2556.0,2.24,2.05
33.0,965.0,1232.0,-1.0,-1.0,1.0,6202.0,13698.0585938,1.0,1.0,6650.0,2.21,2.06
34.0,1015.0,1020.0,-1.0,-1.0,1.0,7310.0,15105.3046875,1.0,1.0,7730.0,2.07,1.95
35.0,1015.0,1128.0,-1.0,-1.0,1.0,856.0,2401.08178711,1.0,1.0,923.0,2.81,2.6
36.0,1015.0,1232.0,-1.0,-1.0,1.0,8598.0,20833.9941406,1.0,1.0,9004.0,2.42,2.31
37.0,1020.0,1059.0,-1.0,-1.0,1.0,387.0,1094.59655762,1.0,1.0,420.0,2.83,2.61
38.0,1020.0,1128.0,-1.0,-1.0,1.0,8120.0,18055.6816406,1.0,1.0,8706.0,2.22,2.07
39.0,1020.0,1358.0,-1.0,-1.0,1.0,1393.0,3601.19140625,1.0,1.0,1534.0,2.59,2.35
40.0,1020.0,1511.0,-1.0,-1.0,1.0,6632.0,14593.1240234,1.0,1.0,7202.0,2.2,2.03
41.0,1044.0,1048.0,-1.0,-1.0,1.0,667.0,1560.92248535,1.0,1.0,741.0,2.34,2.11
42.0,1044.0,1275.0,-1.0,-1.0,1.0,6041.0,11993.4414062,1.0,1.0,6278.0,1.99,1.91
43.0,1044.0,1422.0,-1.0,-1.0,1.0,10340.0,24863.09375,1.0,0.0,12918.0,2.4,1.92
44.0,1048.0,1232.0,-1.0,-1.0,1.0,4708.0,11302.1337891,1.0,1.0,5120.0,2.4,2.21
45.0,1048.0,1275.0,-1.0,-1.0,1.0,6144.0,12345.7070312,1.0,1.0,6670.0,2.01,1.85
46.0,1059.0,1162.0,-1.0,-1.0,1.0,267.0,730.313476562,1.0,1.0,269.0,2.74,2.71
47.0,1059.0,1358.0,-1.0,-1.0,1.0,3968.0,8366.78320312,1.0,1.0,4253.0,2.11,1.97
48.0,1128.0,1232.0,-1.0,-1.0,1.0,8015.0,20636.4648438,1.0,1.0,9304.0,2.57,2.22
49.0,1128.0,1393.0,-1.0,-1.0,1.0,7145.0,18182.6464844,1.0,1.0,7749.0,2.54,2.35
50.0,1128.0,1414.0,-1.0,-1.0,1.0,8196.0,22762.9941406,1.0,1.0,9925.0,2.78,2.29
