#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
1.0,356.0,415.0,-1.0,-1.0,1.0,1766.0,4853.02685547,1.0,1.0,2163.0,2.75,2.24
2.0,356.0,502.0,-1.0,-1.0,1.0,24866.0,78111.2109375,1.0,1.0,30756.0,3.14,2.54
3.0,356.0,513.0,-1.0,-1.0,1.0,13511.0,90106.390625,1.0,0.0,32247.0,6.67,2.79
4.0,356.0,522.0,-1.0,-1.0,1.0,49517.0,150168.015625,1.0,1.0,60269.0,3.03,2.49
5.0,415.0,513.0,-1.0,-1.0,1.0,22841.0,80510.6328125,1.0,0.0,27966.0,3.52,2.88
6.0,415.0,766.0,-1.0,-1.0,1.0,14096.0,38920.8046875,1.0,1.0,15821.0,2.76,2.46
7.0,415.0,790.0,-1.0,-1.0,1.0,18505.0,55106.2148438,1.0,1.0,21666.0,2.98,2.54
8.0,502.0,513.0,-1.0,-1.0,-15.0,10559.0,26879.0429688,1.0,1.0,11136.0,2.55,2.41
9.0,502.0,522.0,-1.0,-1.0,1.0,29400.0,81020.625,1.0,1.0,31069.0,2.76,2.61
10.0,502.0,641.0,-1.0,-1.0,1.0,22534.0,56004.59375,0.0,1.0,25599.0,2.49,2.19
11.0,502.0,674.0,-1.0,-1.0,1.0,2758.0,7242.30664062,1.0,1.0,2875.0,2.63,2.52
12.0,502.0,675.0,-1.0,-1.0,1.0,340.0,1238.62878418,1.0,1.0,434.0,3.64,2.85
13.0,513.0,675.0,-1.0,-1.0,1.0,6196.0,15908.6757812,1.0,1.0,6495.0,2.57,2.45
14.0,513.0,766.0,-1.0,-1.0,1.0,18855.0,49825.953125,1.0,1.0,20257.0,2.64,2.46
15.0,513.0,792.0,-1.0,-1.0,1.0,4227.0,10753.6503906,1.0,1.0,4643.0,2.54,2.32
16.0,513.0,793.0,-1.0,-1.0,1.0,13250.0,33058.5898438,1.0,1.0,14325.0,2.49,2.31
17.0,522.0,592.0,-1.0,-1.0,1.0,245.0,644.790283203,1.0,1.0,296.0,2.63,2.18
18.0,522.0,641.0,-1.0,-1.0,1.0,7642.0,21098.046875,1.0,1.0,8081.0,2.76,2.61
19.0,522.0,665.0,-1.0,-1.0,1.0,5559.0,12944.3574219,1.0,1.0,5746.0,2.33,2.25
20.0,522.0,674.0,-1.0,-1.0,-15.0,18865.0,44557.4414062,1.0,0.0,19994.0,2.36,2.23
21.0,522.0,1226.0,-1.0,-1.0,-15.0,22542.0,49081.2578125,1.0,0.0,25283.0,2.18,1.94
22.0,592.0,641.0,-1.0,-1.0,1.0,7949.0,20790.1503906,1.0,1.0,8515.0,2.62,2.44
23.0,592.0,665.0,-1.0,-1.0,1.0,2337.0,5520.3515625,1.0,1.0,2451.0,2.36,2.25
24.0,592.0,860.0,-1.0,-1.0,1.0,6198.0,14345.4013672,1.0,1.0,6609.0,2.31,2.17
25.0,641.0,674.0,-1.0,-1.0,1.0,7353.0,15930.8544922,1.0,1.0,7866.0,2.17,2.03
26.0,641.0,860.0,-1.0,-1.0,1.0,8209.0,20696.7421875,1.0,1.0,8783.0,2.52,2.36
27.0,641.0,1031.0,-1.0,-1.0,1.0,12216.0,30357.7578125,1.0,1.0,13571.0,2.49,2.24
28.0,641.0,1053.0,-1.0,-1.0,1.0,10792.0,32593.8398438,1.0,0.0,13372.0,3.02,2.44
29.0,641.0,1165.0,-1.0,-1.0,1.0,8989.0,20022.359375,1.0,1.0,10121.0,2.23,1.98
30.0,665.0,860.0,-1.0,-1.0,1.0,5002.0,11757.1074219,1.0,1.0,5182.0,2.35,2.27
31.0,665.0,901.0,-1.0,-1.0,1.0,6088.0,12511.0537109,1.0,1.0,6627.0,2.06,1.89
32.0,665.0,1226.0,-1.0,-1.0,-15.0,13180.0,26340.921875,1.0,0.0,14718.0,2.0,1.79
33.0,674.0,675.0,-1.0,-1.0,1.0,411.0,1145.04431152,1.0,1.0,420.0,2.79,2.73
34.0,674.0,990.0,-1.0,-1.0,1.0,471.0,1152.71777344,1.0,1.0,509.0,2.45,2.26
35.0,674.0,1165.0,-1.0,-1.0,1.0,5228.0,12085.5664062,1.0,1.0,5594.0,2.31,2.16
36.0,675.0,792.0,-1.0,-1.0,1.0,220.0,642.398803711,1.0,1.0,240.0,2.92,2.68
37.0,675.0,990.0,-1.0,-1.0,1.0,3993.0,8775.45898438,1.0,1.0,4283.0,2.2,2.05
38.0,766.0,790.0,-1.0,-1.0,1.0,2828.0,8922.32714844,1.0,1.0,3188.0,3.15,2.8
39.0,766.0,793.0,-1.0,-1.0,1.0,7271.0,19234.9414062,1.0,1.0,7751.0,2.65,2.48
