#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
1.0,371.0,626.0,-1.0,-1.0,1.0,16168.0,42729.7382812,1.0,1.0,17829.0,2.64,2.4
2.0,371.0,799.0,-1.0,-1.0,1.0,29833.0,84226.5234375,1.0,0.0,33091.0,2.82,2.55
3.0,371.0,826.0,-1.0,-1.0,1.0,28097.0,78377.4375,1.0,1.0,31173.0,2.79,2.51
4.0,371.0,833.0,-1.0,-1.0,1.0,42044.0,108001.023438,1.0,0.0,46050.0,2.57,2.35
5.0,371.0,834.0,-1.0,-1.0,1.0,29905.0,84732.015625,1.0,1.0,34218.0,2.83,2.48
6.0,516.0,626.0,-1.0,-1.0,1.0,790.0,3553.00024414,1.0,1.0,1433.0,4.5,2.48
7.0,626.0,799.0,-1.0,-1.0,1.0,21698.0,72984.9296875,1.0,1.0,27925.0,3.36,2.61
8.0,626.0,826.0,-1.0,-1.0,1.0,24883.0,73487.390625,0.0,1.0,28421.0,2.95,2.59
9.0,626.0,833.0,-1.0,-1.0,-15.0,61615.0,166702.3125,1.0,0.0,70662.0,2.71,2.36
10.0,626.0,835.0,-1.0,-1.0,1.0,13519.0,83446.640625,1.0,0.0,32545.0,6.17,2.56
11.0,626.0,1065.0,-1.0,-1.0,1.0,22482.0,58371.4570312,1.0,1.0,25366.0,2.6,2.3
12.0,799.0,826.0,-1.0,-1.0,1.0,352.0,923.027404785,1.0,1.0,369.0,2.62,2.5
13.0,799.0,835.0,-1.0,-1.0,1.0,5800.0,15068.6748047,1.0,1.0,6240.0,2.6,2.41
14.0,799.0,981.0,-1.0,-1.0,1.0,372.0,893.553100586,1.0,1.0,390.0,2.4,2.29
15.0,826.0,834.0,-1.0,-1.0,1.0,29411.0,77519.1875,1.0,0.0,30753.0,2.64,2.52
16.0,826.0,947.0,-1.0,-1.0,1.0,22525.0,53911.1523438,0.0,1.0,25808.0,2.39,2.09
17.0,826.0,951.0,-1.0,-1.0,1.0,569.0,1626.72900391,1.0,1.0,624.0,2.86,2.61
18.0,826.0,981.0,-1.0,-1.0,1.0,283.0,954.998779297,1.0,1.0,324.0,3.37,2.95
19.0,833.0,834.0,-1.0,-1.0,1.0,186.0,487.723815918,1.0,1.0,289.0,2.62,1.69
20.0,833.0,902.0,-1.0,-1.0,1.0,277.0,705.633544922,1.0,1.0,326.0,2.55,2.16
21.0,833.0,970.0,-1.0,-1.0,1.0,4349.0,11655.3945312,1.0,1.0,5294.0,2.68,2.2
22.0,834.0,902.0,-1.0,-1.0,1.0,695.0,1471.58825684,1.0,1.0,726.0,2.12,2.03
23.0,834.0,947.0,-1.0,-1.0,1.0,8326.0,23527.4628906,1.0,1.0,9398.0,2.83,2.5
24.0,834.0,951.0,-1.0,-1.0,-15.0,18713.0,46069.2578125,1.0,0.0,21274.0,2.46,2.17
25.0,835.0,981.0,-1.0,-1.0,1.0,6221.0,15349.2841797,1.0,1.0,6508.0,2.47,2.36
26.0,835.0,1065.0,-1.0,-1.0,1.0,18858.0,47609.2578125,1.0,1.0,19670.0,2.52,2.42
27.0,835.0,1079.0,-1.0,-1.0,1.0,4242.0,10677.6650391,1.0,1.0,4625.0,2.52,2.31
28.0,835.0,1089.0,-1.0,-1.0,1.0,13268.0,32319.0371094,1.0,1.0,14951.0,2.44,2.16
29.0,902.0,947.0,-1.0,-1.0,1.0,7945.0,19652.2011719,1.0,1.0,8490.0,2.47,2.31
30.0,902.0,970.0,-1.0,-1.0,1.0,4767.0,11921.4677734,1.0,1.0,5257.0,2.5,2.27
31.0,902.0,972.0,-1.0,-1.0,1.0,2332.0,5288.07519531,1.0,1.0,2446.0,2.27,2.16
32.0,902.0,1148.0,-1.0,-1.0,1.0,6223.0,13856.3173828,1.0,1.0,6625.0,2.23,2.09
33.0,947.0,951.0,-1.0,-1.0,1.0,7317.0,15389.9306641,1.0,1.0,7706.0,2.1,2.0
34.0,947.0,1049.0,-1.0,-1.0,1.0,827.0,2372.41430664,1.0,1.0,923.0,2.87,2.57
35.0,947.0,1148.0,-1.0,-1.0,1.0,8602.0,21169.1289062,1.0,1.0,9004.0,2.46,2.35
36.0,951.0,981.0,-1.0,-1.0,1.0,403.0,1134.3972168,1.0,1.0,420.0,2.81,2.7
