#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
1.0,377.0,442.0,-1.0,-1.0,1.0,1756.0,5027.21240234,1.0,1.0,2205.0,2.86,2.28
2.0,377.0,547.0,-1.0,-1.0,1.0,24848.0,79113.890625,1.0,1.0,29661.0,3.18,2.67
3.0,377.0,561.0,-1.0,-1.0,1.0,13527.0,91133.4609375,1.0,0.0,33981.0,6.74,2.68
4.0,377.0,573.0,-1.0,-1.0,1.0,49604.0,150384.453125,1.0,1.0,61233.0,3.03,2.46
5.0,442.0,561.0,-1.0,-1.0,1.0,22822.0,78175.5234375,1.0,0.0,28006.0,3.43,2.79
6.0,442.0,852.0,-1.0,-1.0,1.0,14137.0,38083.1914062,1.0,1.0,15857.0,2.69,2.4
7.0,442.0,1746.0,-1.0,-1.0,1.0,48823.0,119167.875,1.0,0.0,55327.0,2.44,2.15
8.0,547.0,561.0,-1.0,-1.0,-15.0,10588.0,25978.15625,1.0,1.0,11477.0,2.45,2.26
9.0,547.0,573.0,-1.0,-1.0,1.0,29386.0,79171.84375,1.0,1.0,30964.0,2.69,2.56
10.0,547.0,714.0,-1.0,-1.0,1.0,22520.0,54277.9023438,0.0,1.0,25552.0,2.41,2.12
11.0,547.0,754.0,-1.0,-1.0,1.0,2715.0,7006.90771484,1.0,1.0,2900.0,2.58,2.42
12.0,547.0,756.0,-1.0,-1.0,1.0,373.0,1127.80004883,1.0,1.0,434.0,3.02,2.6
13.0,561.0,756.0,-1.0,-1.0,1.0,6229.0,15655.5029297,1.0,1.0,6774.0,2.51,2.31
14.0,561.0,852.0,-1.0,-1.0,1.0,18343.0,47235.7695312,1.0,1.0,19843.0,2.58,2.38
15.0,561.0,874.0,-1.0,-1.0,1.0,4212.0,10317.1074219,1.0,1.0,4578.0,2.45,2.25
16.0,561.0,877.0,-1.0,-1.0,1.0,13250.0,32254.28125,1.0,1.0,14338.0,2.43,2.25
17.0,573.0,642.0,-1.0,-1.0,1.0,233.0,561.727233887,1.0,1.0,272.0,2.41,2.07
18.0,573.0,714.0,-1.0,-1.0,1.0,7631.0,19936.5820312,1.0,1.0,8244.0,2.61,2.42
19.0,573.0,744.0,-1.0,-1.0,1.0,5622.0,12417.9316406,1.0,1.0,5764.0,2.21,2.15
20.0,573.0,754.0,-1.0,-1.0,-15.0,18749.0,42647.2929688,1.0,0.0,19822.0,2.27,2.15
21.0,573.0,1354.0,-1.0,-1.0,-15.0,22536.0,47224.0664062,1.0,0.0,25201.0,2.1,1.87
22.0,642.0,714.0,-1.0,-1.0,1.0,7937.0,19785.0429688,1.0,1.0,8522.0,2.49,2.32
23.0,642.0,744.0,-1.0,-1.0,1.0,2330.0,5062.07324219,1.0,1.0,2403.0,2.17,2.11
24.0,642.0,957.0,-1.0,-1.0,1.0,6216.0,13824.9501953,1.0,1.0,6939.0,2.22,1.99
25.0,714.0,754.0,-1.0,-1.0,1.0,7253.0,15961.0351562,1.0,1.0,7776.0,2.2,2.05
26.0,714.0,957.0,-1.0,-1.0,1.0,8234.0,19770.2734375,1.0,1.0,8818.0,2.4,2.24
27.0,714.0,1135.0,-1.0,-1.0,1.0,12218.0,28967.7617188,1.0,1.0,13534.0,2.37,2.14
28.0,714.0,1158.0,-1.0,-1.0,1.0,10960.0,31484.1660156,1.0,0.0,12991.0,2.87,2.42
29.0,714.0,1289.0,-1.0,-1.0,1.0,9006.0,19081.8554688,1.0,1.0,10116.0,2.12,1.89
30.0,744.0,957.0,-1.0,-1.0,1.0,4942.0,11296.7236328,1.0,1.0,5134.0,2.29,2.2
31.0,744.0,1004.0,-1.0,-1.0,1.0,6124.0,12280.5488281,1.0,1.0,6627.0,2.01,1.85
32.0,744.0,1354.0,-1.0,-1.0,-15.0,13175.0,25857.6875,1.0,0.0,14563.0,1.96,1.78
33.0,754.0,756.0,-1.0,-1.0,1.0,411.0,1176.13244629,1.0,1.0,441.0,2.86,2.67
34.0,754.0,1099.0,-1.0,-1.0,1.0,466.0,1144.5645752,1.0,1.0,526.0,2.46,2.18
35.0,754.0,1289.0,-1.0,-1.0,1.0,5232.0,12116.7832031,1.0,1.0,5584.0,2.32,2.17
36.0,756.0,874.0,-1.0,-1.0,1.0,295.0,787.532165527,1.0,1.0,312.0,2.67,2.52
37.0,756.0,1099.0,-1.0,-1.0,1.0,3991.0,8668.83691406,1.0,1.0,4272.0,2.17,2.03
38.0,852.0,877.0,-1.0,-1.0,1.0,7123.0,17826.4199219,1.0,1.0,7614.0,2.5,2.34
39.0,852.0,1021.0,-1.0,-1.0,1.0,1890.0,5095.32519531,1.0,1.0,2039.0,2.7,2.5
40.0,852.0,1368.0,-1.0,-1.0,-15.0,7991.0,18674.5292969,1.0,1.0,8668.0,2.34,2.15
41.0,852.0,1746.0,-1.0,-1.0,-15.0,24640.0,60649.125,1.0,1.0,27664.0,2.46,2.19
42.0,874.0,877.0,-1.0,-1.0,1.0,6896.0,16783.9316406,1.0,1.0,7370.0,2.43,2.28
43.0,874.0,1099.0,-1.0,-1.0,1.0,1520.0,3266.87329102,1.0,1.0,1822.0,2.15,1.79
44.0,874.0,1171.0,-1.0,-1.0,1.0,3295.0,7869.05957031,1.0,1.0,3896.0,2.39,2.02
45.0,877.0,1021.0,-1.0,-1.0,1.0,2448.0,11591.0185547,1.0,1.0,4541.0,4.73,2.55
46.0,877.0,1171.0,-1.0,-1.0,1.0,6660.0,15657.3916016,1.0,1.0,7093.0,2.35,2.21
47.0,877.0,1368.0,-1.0,-1.0,1.0,11513.0,28859.1445312,1.0,1.0,12607.0,2.51,2.29
48.0,877.0,1709.0,-1.0,-1.0,1.0,16396.0,36236.5234375,1.0,1.0,17799.0,2.21,2.04
49.0,957.0,1004.0,-1.0,-1.0,1.0,5657.0,13833.5830078,1.0,1.0,6625.0,2.45,2.09
50.0,957.0,1135.0,-1.0,-1.0,1.0,4407.0,27446.859375,0.0,1.0,11418.0,6.23,2.4
51.0,957.0,1158.0,-1.0,-1.0,1.0,825.0,2679.22558594,1.0,1.0,1109.0,3.25,2.42
52.0,1004.0,1158.0,-1.0,-1.0,1.0,5750.0,14070.8203125,1.0,1.0,7246.0,2.45,1.94
53.0,1004.0,1354.0,-1.0,-1.0,1.0,1666.0,3723.62646484,1.0,1.0,1878.0,2.24,1.98
54.0,1021.0,1368.0,-1.0,-1.0,1.0,1560.0,3759.70507812,1.0,1.0,1644.0,2.41,2.29
55.0,1099.0,1171.0,-1.0,-1.0,1.0,454.0,1179.04052734,1.0,1.0,701.0,2.6,1.68
56.0,1099.0,1289.0,-1.0,-1.0,1.0,210.0,475.316925049,1.0,1.0,252.0,2.26,1.89
